station,x_m,s_lwl,z_m,y_half_m,z_frac
0,0.0,0.0,0.0324,4e-05,0.0
0,0.0,0.0,0.0949,0.00015,0.0909
0,0.0,0.0,0.1574,0.00035,0.1818
0,0.0,0.0,0.2199,0.00054,0.2727
0,0.0,0.0,0.2824,0.00055,0.3636
0,0.0,0.0,0.3449,0.00055,0.4545
0,0.0,0.0,0.4075,0.00056,0.5455
0,0.0,0.0,0.47,0.00056,0.6364
0,0.0,0.0,0.5325,0.00057,0.7273
0,0.0,0.0,0.595,0.00057,0.8182
0,0.0,0.0,0.6575,0.00058,0.9091
0,0.0,0.0,0.72,0.00058,1.0
1,0.45,0.0314,0.0286,0.00074,0.0
1,0.45,0.0314,0.0915,0.00253,0.0909
1,0.45,0.0314,0.1543,0.00596,0.1818
1,0.45,0.0314,0.2172,0.00931,0.2727
1,0.45,0.0314,0.28,0.00939,0.3636
1,0.45,0.0314,0.3429,0.00947,0.4545
1,0.45,0.0314,0.4057,0.00956,0.5455
1,0.45,0.0314,0.4686,0.00965,0.6364
1,0.45,0.0314,0.5314,0.00975,0.7273
1,0.45,0.0314,0.5943,0.00984,0.8182
1,0.45,0.0314,0.6571,0.00994,0.9091
1,0.45,0.0314,0.72,0.01004,1.0
2,0.9,0.0837,0.0228,0.00551,0.0
2,0.9,0.0837,0.0862,0.01873,0.0909
2,0.9,0.0837,0.1496,0.04422,0.1818
2,0.9,0.0837,0.213,0.06904,0.2727
2,0.9,0.0837,0.2763,0.06961,0.3636
2,0.9,0.0837,0.3397,0.07024,0.4545
2,0.9,0.0837,0.4031,0.0709,0.5455
2,0.9,0.0837,0.4665,0.07158,0.6364
2,0.9,0.0837,0.5299,0.07228,0.7273
2,0.9,0.0837,0.5932,0.07299,0.8182
2,0.9,0.0837,0.6566,0.07371,0.9091
2,0.9,0.0837,0.72,0.07444,1.0
3,1.35,0.136,0.0177,0.00848,0.0
3,1.35,0.136,0.0815,0.0288,0.0909
3,1.35,0.136,0.1454,0.06799,0.1818
3,1.35,0.136,0.2092,0.10615,0.2727
3,1.35,0.136,0.2731,0.10703,0.3636
3,1.35,0.136,0.3369,0.108,0.4545
3,1.35,0.136,0.4008,0.10901,0.5455
3,1.35,0.136,0.4646,0.11005,0.6364
3,1.35,0.136,0.5285,0.11112,0.7273
3,1.35,0.136,0.5923,0.11221,0.8182
3,1.35,0.136,0.6562,0.11332,0.9091
3,1.35,0.136,0.72,0.11444,1.0
4,1.8,0.1884,0.0132,0.01107,0.0
4,1.8,0.1884,0.0774,0.03761,0.0909
4,1.8,0.1884,0.1417,0.08879,0.1818
4,1.8,0.1884,0.2059,0.13863,0.2727
4,1.8,0.1884,0.2702,0.13979,0.3636
4,1.8,0.1884,0.3345,0.14105,0.4545
4,1.8,0.1884,0.3987,0.14237,0.5455
4,1.8,0.1884,0.463,0.14374,0.6364
4,1.8,0.1884,0.5272,0.14513,0.7273
4,1.8,0.1884,0.5915,0.14656,0.8182
4,1.8,0.1884,0.6557,0.148,0.9091
4,1.8,0.1884,0.72,0.14947,1.0
5,2.25,0.2407,0.0093,0.0133,0.0
5,2.25,0.2407,0.074,0.04519,0.0909
5,2.25,0.2407,0.1386,0.10667,0.1818
5,2.25,0.2407,0.2032,0.16654,0.2727
5,2.25,0.2407,0.2678,0.16792,0.3636
5,2.25,0.2407,0.3324,0.16944,0.4545
5,2.25,0.2407,0.397,0.17102,0.5455
5,2.25,0.2407,0.4616,0.17266,0.6364
5,2.25,0.2407,0.5262,0.17434,0.7273
5,2.25,0.2407,0.5908,0.17605,0.8182
5,2.25,0.2407,0.6554,0.17779,0.9091
5,2.25,0.2407,0.72,0.17955,1.0
6,2.7,0.293,0.0062,0.01517,0.0
6,2.7,0.293,0.0711,0.05152,0.0909
6,2.7,0.293,0.136,0.12162,0.1818
6,2.7,0.293,0.2009,0.18989,0.2727
6,2.7,0.293,0.2657,0.19147,0.3636
6,2.7,0.293,0.3306,0.19319,0.4545
6,2.7,0.293,0.3955,0.19501,0.5455
6,2.7,0.293,0.4604,0.19687,0.6364
6,2.7,0.293,0.5253,0.19879,0.7273
6,2.7,0.293,0.5902,0.20074,0.8182
6,2.7,0.293,0.6551,0.20272,0.9091
6,2.7,0.293,0.72,0.20473,1.0
7,3.15,0.3453,0.0037,0.01667,0.0
7,3.15,0.3453,0.0688,0.05663,0.0909
7,3.15,0.3453,0.1339,0.13369,0.1818
7,3.15,0.3453,0.199,0.20873,0.2727
7,3.15,0.3453,0.2641,0.21047,0.3636
7,3.15,0.3453,0.3293,0.21237,0.4545
7,3.15,0.3453,0.3944,0.21436,0.5455
7,3.15,0.3453,0.4595,0.21641,0.6364
7,3.15,0.3453,0.5246,0.21851,0.7273
7,3.15,0.3453,0.5898,0.22066,0.8182
7,3.15,0.3453,0.6549,0.22284,0.9091
7,3.15,0.3453,0.72,0.22504,1.0
8,3.6,0.3977,0.0018,0.01782,0.0
8,3.6,0.3977,0.0671,0.06054,0.0909
8,3.6,0.3977,0.1324,0.1429,0.1818
